curve_id,family,normalized_rmse,noise_fraction,extrapolated_to_160,params
NU00218,weibull,0.0037041615267178,0.0029315846249417,True,"[38.03242144388776, 0.22331074238573878, 0.36622027932053997]"
NU00219,weibull,0.006356318362927,0.0056884176407468,True,"[55.870707500412955, 2.808944432910377, 0.6786402334990194]"
NU00220,weibull,0.006870009589178,0.0054600510197427,True,"[49.825977586609916, 0.010000000000000049, 0.30050517284844785]"
NU00221,weibull,0.0075074014081778,0.006114877448129,True,"[29.2199075174108, 0.010007926837254613, 0.24130392874437967]"
NU00224,weibull,0.0148334096489837,0.0135105151341035,True,"[48.08871728254759, 3.481491028204932, 0.8495121528672847]"
NU00226,weibull,0.0069036849660684,0.0059054727702615,True,"[27.12153580985747, 1.4720147509427361, 0.4595679033872121]"
NU00242,weibull,0.0158495928242914,0.0156643948556954,True,"[83.27302148955386, 0.01000000000000274, 0.16858040135207208]"
NU00243,weibull,0.0196203935531702,0.018807042453769,True,"[72.81865149067193, 0.685976615658821, 0.10001000000000008]"
NU00244,weibull,0.0108640333118222,0.010446769551527,True,"[70.92403715921697, 0.2519352230146807, 0.22100138527919042]"
NU00245,weibull,0.0661531806082129,0.0690111076891679,True,"[14.858105220476617, 2.8178161993501134, 0.10001000000000405]"
NU00246,weibull,0.0486411298145188,0.0518959422392764,True,"[8.248081138871994, 0.01000000000031194, 0.21158654438062577]"
NU00247,weibull,0.0098229713691435,0.0094042474530919,True,"[55.046466369157955, 0.01000000000000004, 0.2145438498848928]"
NU00248,weibull,0.0585030493440098,0.0601233438421093,True,"[8.660149384389612, 0.010000000000000986, 0.19870300031944194]"
NU00250,weibull,0.0081082481175206,0.0077293238996154,True,"[52.031602227076334, 0.010000000000000007, 0.2587051943386057]"
NU00251,weibull,0.0080557008059965,0.0076640190931912,True,"[69.89858677083596, 0.46688301798483467, 0.24940981693263395]"
NU00252,weibull,0.0112616581492504,0.0111050386308925,True,"[57.49966643845701, 0.38405755454793783, 0.28077399829360233]"
NU00253,weibull,0.0162143321782916,0.0165658567358432,True,"[54.02866573783268, 0.010000000000000056, 0.2166130391054554]"
NU00254,weibull,0.0240211700929241,0.0244369427143043,True,"[10.616247704821237, 0.010000000000001147, 0.21849602922127753]"
NU00255,weibull,0.0280479102794474,0.0291604567399918,True,"[6.2520082741495395, 0.010000000000035644, 0.18947527547656434]"
NU00256,weibull,0.0360524154150056,0.0363088816106773,True,"[54.90939087100738, 0.010000000000000292, 0.23523649320822082]"
NU00257,weibull,0.011928109910627,0.0117156211322644,True,"[74.83308554735035, 0.010000000000000002, 0.39188601162199677]"
NU00258,weibull,0.0055106865660344,0.0051612847957149,True,"[60.00455260059644, 1.6079756869441864, 0.5765257769504433]"
